Institution,Citation_Count_Sample
Institute for Health Metrics and Evaluation,1123
University of Washington,967
Auckland University of Technology,211
Seattle University,120
University of Cambridge,119
Istituti di Ricovero e Cura a Carattere Scientifico,105
Addenbrooke's Hospital,100
Tehran University of Medical Sciences,100
University of Antwerp,99
Antwerp University Hospital,99
Institute of Cardiology,99
Mario Negri Institute for Pharmacological Research,97
Digestive Disease Research Institute,85
University of Queensland,84
Queensland Centre for Mental Health Research,76
Centre for Chronic Disease Control,69
University College London,68
Aga Khan University,63
Harborview Injury Prevention and Research Center,62
Harborview Medical Center,60
King's College London,45
Heidelberg University,42
Harvard University,41
Imperial College London,41
Inserm,38
"City, University of London",36
Fudan University,34
University of Oxford,32
University of Melbourne,30
Peking University,30
