NCTId,Sponsor,Phase,Status,Countries,Interventions,Emerging_Modality
NCT04658589,Chonnam National University Hospital,NA,NOT_YET_RECRUITING,,Laparoscopic versus open distal gastrectomy,No
NCT05088889,Sheba Medical Center,PHASE1,UNKNOWN,,Nivolumab | ipilimumab | Stereotactic body radiation therapy | Low dose irradiation,No
NCT05976568,"Qilu Pharmaceutical Co., Ltd.","PHASE2, PHASE3",NOT_YET_RECRUITING,,QL1706 | Bevacizumab | Oxaliplatin injection | Capecitabine | Sintilimab,No
NCT00765791,University of Alberta,NA,COMPLETED,,Selective Neck Dissection Excluding Level 2B | Selective Neck Dissection Including Level 2B,No
NCT00559091,Jewish General Hospital,PHASE2,COMPLETED,,ribavirin,No
NCT00679874,University of Calgary,,TERMINATED,,Cardio-vascular MRI,No
NCT02840890,Centre Georges Francois Leclerc,NA,COMPLETED,,osteopathic technique | Placebo,No
NCT00116597,"University Hospital, Basel, Switzerland","PHASE1, PHASE2",COMPLETED,,Intranodal immunization with a recombinant vaccinia virus expressing 5 transgenes | Intranodal booster immunizations with synthetic melanoma associated epitopes,No
NCT05596097,LanZhou University,PHASE2,NOT_YET_RECRUITING,,Zanubrutinib,No
NCT01641497,Centre Oscar Lambret,NA,TERMINATED,,3D conformational radiation | IMRT,No
NCT02588560,Chang Gung Memorial Hospital,,UNKNOWN,,,No
NCT05233982,"National Cancer Institute, Naples",PHASE2,UNKNOWN,,Olaparib Oral Product,No
NCT01221324,Cantonal Hospital of St. Gallen,,COMPLETED,,,No
NCT01643824,"National Cancer Center, Korea",NA,COMPLETED,,Proton Beam Therapy,No
NCT03081923,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",PHASE2,TERMINATED,,Durvalumab | Tremelimumab,No
NCT01040559,Centre Hospitalier Universitaire Dijon,PHASE1,COMPLETED,,idarubicin,No
NCT03027479,"University Hospital, Tours",NA,COMPLETED,,Samples,No
NCT03542279,"Xuanwu Hospital, Beijing",NA,COMPLETED,,"Plasma exchange (PE) | intravenous immunmoglobulin (IVIG), intravenous methylprednisolone (IVMP)",No
NCT01724879,Goethe University,PHASE2,COMPLETED,,Dasatinib,No
NCT05080088,Centre Hospitalier Universitaire de Nīmes,,COMPLETED,,,No
NCT05150561,"Rigshospitalet, Denmark",,ACTIVE_NOT_RECRUITING,,,No
NCT00801242,Ferring Pharmaceuticals,PHASE3,COMPLETED,,Degarelix 240 mg / 80 mg,No
NCT06857773,The Netherlands Cancer Institute,PHASE3,RECRUITING,,Intra arterial infusion Floxuridine (FUDR) combined with systemic therapy | Hepatic arterial infusion pump (HAIP) | Systemic therapy (standard of care),No
NCT01335269,Boehringer Ingelheim,PHASE1,COMPLETED,,BI 853520,No
NCT07464769,Region Jönköping County,NA,NOT_YET_RECRUITING,,Compression therapy,No
NCT00802841,Novartis Pharmaceuticals,PHASE3,COMPLETED,,nilotinib | imatinib,No
NCT04226066,"Tasly Tianjin Biopharmaceutical Co., Ltd.","PHASE1, PHASE2",UNKNOWN,,T601 | T601+5-FC,No
NCT02635256,University Hospital Schleswig-Holstein,NA,COMPLETED,,Hypofractionated Radiosurgery,No
NCT04837391,Istanbul University,,UNKNOWN,,Near Infrared Spectroscopy (NIRS) | Blood sample | Addenbrooke Cognitive Examination III (ACE-III) | Confusion Assessment Method,No
NCT03872791,"Jiangsu Alphamab Biopharmaceuticals Co., Ltd","PHASE1, PHASE2",COMPLETED,,KN046 | Nab-paclitaxel,No
NCT03796390,"Hebei Senlang Biotechnology Inc., Ltd.",PHASE1,UNKNOWN,,CD123 CAR-T cells,Yes
NCT00128310,Spanish Breast Cancer Research Group,PHASE3,COMPLETED,,Vinorelbine | Gemcitabine,No
NCT06787313,Fudan University,,RECRUITING,,precision palliative care,No
NCT07267910,Aalto University,NA,NOT_YET_RECRUITING,,Active transcranial electrical vestibular stimulation (Active EVS) | Sham transcranial electrical vestibular stimulation (Sham EVS) | Control measurement,No
NCT06856213,Grupo Español de Tratamiento de Tumores de Cabeza y Cuello,PHASE2,RECRUITING,,Cetuximab | Paclitaxel,No
NCT00876460,Boehringer Ingelheim,PHASE1,COMPLETED,,BIBF 1120 M + docetaxel M | BIBF 1120 M + docetaxel H | BIBF 1120 H + docetaxel H | BIBF 1120 L + docetaxel M | BIBF 1120 H + docetaxel M,No
NCT00235560,"University Hospital, Toulouse",PHASE2,COMPLETED,,rapamycin,No
NCT01487720,Asan Medical Center,PHASE2,COMPLETED,,GEMOX,No
NCT04638582,McGill University Health Centre/Research Institute of the McGill University Health Centre,PHASE2,UNKNOWN,,Pembrolizumab | Carboplatin | Paclitaxel | Pemetrexed,No
NCT00334282,GlaxoSmithKline,PHASE3,COMPLETED,,Pazopanib | placebo,No
NCT04838782,University of Alberta,NA,WITHDRAWN,,Repeat Surgical Management of Recurrent GBM,No
NCT06580223,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",PHASE3,NOT_YET_RECRUITING,,Aspirin 100mg | Rivaroxaban 10mg,No
NCT01137123,Sun Yat-sen University,PHASE3,COMPLETED,,adjuvant chemotherapy | standard two field Lymphadenectomy | Total two field Lymphadenectomy | three field Lymphadenectomy,No
NCT06088459,"Newish Technology (Beijing) Co., Ltd.",PHASE1,UNKNOWN,,1mg NWRD06 administered by electroporation | 4mg NWRD06 administered by electroporation | 8mg NWRD06 administered by electroporation,No
NCT06729359,Al-Kindy College of Medicine,,COMPLETED,,Ultrasonography of the abdomen and pelvis,No
NCT04672759,Peking Union Medical College Hospital,,UNKNOWN,,Durvalumab | Durvalumab,No
NCT03817359,Tri-Service General Hospital,NA,COMPLETED,,Remifentanil-propofol mixture,No
NCT01604759,British Columbia Cancer Agency,PHASE1,COMPLETED,,Polarized Reflectance Spectroscopy System,No
NCT05544396,National Cheng-Kung University Hospital,NA,ACTIVE_NOT_RECRUITING,,probiotic,No
NCT07404462,Institute of Oncology Ljubljana,,COMPLETED,,Standard-of-Care Neoadjuvant Chemotherapy,No
NCT02417662,"University College, London",NA,ACTIVE_NOT_RECRUITING,,Radical Radiotherapy (Conventional RT and SABR) | Non-investigational SACT,No
NCT01607788,"University of Geneva, Switzerland",,UNKNOWN,,,No
NCT06540027,Başakşehir Çam & Sakura City Hospital,,ENROLLING_BY_INVITATION,,rectal cacer surgery,No
NCT05254561,Zagazig University,"PHASE2, PHASE3",COMPLETED,,Intralesional antigen immunotherapy,No
NCT06822842,"Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",,NOT_YET_RECRUITING,,,No
NCT07023042,National Taiwan University Hospital,NA,RECRUITING,,Abdominal Kinesio taping | Standard Care Arm,No
NCT02613286,Hospital de Câncer de Pernambuco,NA,COMPLETED,,Extrafascial Hysterectomy | Modified radical hysterectomy,No
NCT01413386,"Jong Taek, Lee",NA,TERMINATED,,biliary stent,No
NCT02769286,Chonnam National University Hospital,PHASE2,COMPLETED,,Osimertinib,No
NCT06544070,Entia Ltd,,NOT_YET_RECRUITING,,Entia Liberty System,No
NCT05840770,City of Hope Medical Center,PHASE2,WITHDRAWN,,Biospecimen Collection | Cemiplimab | Computed Tomography | Magnetic Resonance Elastography | Positron Emission Tomography,No
NCT07028970,"Nanjing IASO Biotechnology Co., Ltd.",,RECRUITING,,No Intervention (subjects were previously treated with Equecabtagene Autoleucel Injection) ),No
NCT04571086,"University Hospital, Essen",,RECRUITING,,,No
NCT05397873,"University Health Network, Toronto",NA,RECRUITING,,Biofeedback training,No
NCT07078773,"Nanjing First Hospital, Nanjing Medical University",NA,ACTIVE_NOT_RECRUITING,,peng block | obturator nerve block,No
NCT02338583,Ethicon Endo-Surgery,,COMPLETED,,Echelon Flex™ 45 and 60 Powered ENDOPATH® Stapler Articulating Endoscopic Linear Cutter,No
NCT03038841,University of Zurich,,UNKNOWN,,Mobile Health,No
NCT03837054,Assistance Publique Hopitaux De Marseille,NA,UNKNOWN,,Blood collection and Micronuclei assay on binucleate lymphocytes in culture,No
NCT06111105,Claus Lindbjerg Andersen,,RECRUITING,,,No
NCT06224166,Regina Elena Cancer Institute,,UNKNOWN,,"Collection and use of tissue samples, blood and saliva",No
NCT07305766,Peking Union Medical College,NA,COMPLETED,,Intervention group | Conventional nursing measures,No
NCT03249766,Tata Memorial Hospital,,COMPLETED,,Observational,No
NCT05586256,University Of Perugia,,RECRUITING,,ultra-hypofractionated whole breast irradiation,No
NCT02331056,Samsung Medical Center,,COMPLETED,,fluid loading | thoracoscopic pulmonary lobectomy | thoracotomy,No
NCT04119622,Aiping Zhou,PHASE2,UNKNOWN,,Toripalimab | oxaliplatin | capecitabine,No
NCT02809651,Ziekenhuis Oost-Limburg,NA,COMPLETED,,Infrascanner,No
NCT04309929,Careggi Hospital,,COMPLETED,,Analgesics,No
NCT04231929,Terumo Europe N.V.,NA,WITHDRAWN,,Chemoembolization,No
NCT00003729,European Organisation for Research and Treatment of Cancer - EORTC,PHASE2,TERMINATED,,cytarabine | fludarabine phosphate | idarubicin,No
NCT03195491,Bristol-Myers Squibb,PHASE3,COMPLETED,,Nivolumab,No
NCT01271010,Hoffmann-La Roche,PHASE4,TERMINATED,,Cyclophosphamide | Fludarabine | Rituximab,No
NCT04437420,Centre Hospitalier Universitaire Dijon,,UNKNOWN,,injection of BEP 800 | Control,No
NCT00472420,Hoffmann-La Roche,PHASE2,COMPLETED,,rituximab [MabThera/Rituxan] | First line chemotherapy,No
NCT06725524,Shanghai JMT-Bio Inc.,PHASE1,RECRUITING,,JMT601,No
NCT05833724,Great Novel Therapeutics Biotech & Medicals Corporation,PHASE2,RECRUITING,,Chidamide,No
NCT00900523,Vanderbilt-Ingram Cancer Center,,COMPLETED,,protein expression analysis | immunohistochemistry,No
NCT01017679,Sun Yat-sen University,PHASE2,COMPLETED,,Gefitinib 500mg/Gefitinib 250mg,No
NCT05719779,Centre hospitalier de l'Université de Montréal (CHUM),NA,RECRUITING,,Ronco-Onco and MAD,No
NCT04895046,"Walid Shaib, MD",PHASE2,WITHDRAWN,,Niraparib | Dostarlimab | Dostarlimab,No
NCT01373346,Gangnam Severance Hospital,NA,COMPLETED,,Long limb Roux-en Y reconstruction,No
NCT02504788,Chang Gung Memorial Hospital,NA,RECRUITING,,hippocampal-sparing WBRT,No
NCT02707588,Groupe Oncologie Radiotherapie Tete et Cou,PHASE2,COMPLETED,,Pembrolizumab | Cetuximab | Radiotherapy,No
NCT00138827,"St George Hospital, Australia",PHASE4,COMPLETED,,Biotene (mouth care),No
NCT07401173,Qun Zhao,,NOT_YET_RECRUITING,,,No
NCT05396183,Peking University Third Hospital,,UNKNOWN,,,No
NCT07201441,Sir Run Run Shaw Hospital,NA,COMPLETED,,Smart Nursing Based on the Health Cloud Platform,No
NCT00308854,photonamic GmbH & Co. KG,PHASE3,COMPLETED,,Photodynamic Therapy,No
NCT04507594,Aarhus University Hospital,,COMPLETED,,Lung lobectomy OR esophagus cancer resection,No
NCT04248166,Seoul St. Mary's Hospital,NA,UNKNOWN,,Photoacoustic imaging,No
NCT03323905,Sunnybrook Health Sciences Centre,NA,COMPLETED,,Symphony MRI guided High Intensity Focused Ultrasound (HIFU),No
NCT02145494,Royal Marsden NHS Foundation Trust,PHASE2,UNKNOWN,,Radiotherapy,No
NCT04745156,Medical College of Wisconsin,NA,NOT_YET_RECRUITING,,RNS System Implantation,No
NCT03462251,iOMEDICO AG,PHASE3,COMPLETED,,Ribociclib and aromatase inhibitor or fulvestrant | Capecitabine + bevacizumab OR Paclitaxel +/- bevacizumab,No
NCT04324151,Hunan Province Tumor Hospital,,RECRUITING,,,No
NCT03625531,Hongxia Ma,PHASE3,UNKNOWN,,Acupuncture | Letrozole | Placebo letrozole,No
NCT00833131,Polish Colorectal Cancer Study Group,PHASE3,UNKNOWN,,Short course of radiotherapy | Radiochemotherapy,No
NCT02980731,AbbVie,PHASE3,COMPLETED,,Venetoclax,No
NCT03922074,Serveis de Salut Integrats Baix Empordà,NA,COMPLETED,,Sedation directed by an endoscopist | Sedation directed by an anesthesiologist,No
NCT05916690,Institute of Oncology Ljubljana,NA,UNKNOWN,,Electrochemotherapy with bleomycin or cisplatin,No
NCT01341197,National Taiwan University Hospital,,COMPLETED,,"Fecal immunochemical test, guaiac fecal occult-blood test, and Helicobacter pylori stool antigen test",No
NCT01004497,The Catholic University of Korea,PHASE2,COMPLETED,,Dasatinib | Cyclophosphamide | Vincristine | Daunorubicin | Dexamethasone | Cytarabine | Mitoxantrone,No
NCT00458510,Archimedes Development Ltd,PHASE3,COMPLETED,,"Fentanyl (Nasalfent, Fentanyl Citrate Nasal Spray)",No
NCT06943924,Dr. Lutfi Kirdar Kartal Training and Research Hospital,,COMPLETED,,Frailty assessment,No
NCT02880423,Bnai Zion Medical Center,NA,UNKNOWN,,tubal ligation group II | salpingectomy group I,No
NCT05921123,"University Hospital, Brest",,UNKNOWN,,,No
NCT00756223,Boehringer Ingelheim,PHASE1,COMPLETED,,Arm A | Arm B,No
NCT02802423,"BioLite, Inc.","PHASE1, PHASE2",NOT_YET_RECRUITING,,BLEX 404 Oral Liquid,No
NCT00794859,King's College London,PHASE2,UNKNOWN,,Sorafenib,No
NCT00670488,Merck Sharp & Dohme LLC,PHASE1,COMPLETED,,MK-2206,No
NCT06316427,Beijing GoBroad Hospital,"PHASE1, PHASE2",RECRUITING,,Autologous CD7 CAR T-cell | Prior-HSCT donor-derived CD7 CAR T-cell | New donor-derived CD7 CAR T-cell,No
NCT04907227,Merck Sharp & Dohme LLC,PHASE3,TERMINATED,,Pembrolizumab | Docetaxel | Prednisone | Placebo | Dexamethasone,No
NCT07305727,Centre Hospitalier Universitaire de Nīmes,,RECRUITING,,,No
NCT02627261,Hospices Civils de Lyon,,COMPLETED,,blood samples and bone marrow aspirates will be collected,No
NCT03474861,"Hangzhou Converd Co., Ltd.",PHASE1,UNKNOWN,,anticancer medication A01; immune cells IC01,No
NCT07426861,"Royal College of Surgeons, Ireland",NA,RECRUITING,,Standard Pre-Operative Education and Physiotherapy Recommendation | Pre-Operative Nurse-Led Education with Direct Physiotherapy Referral,No
NCT01694342,Meir Medical Center,,UNKNOWN,,,No
NCT06378242,"RemeGen Co., Ltd.","PHASE1, PHASE2",RECRUITING,,Disitamab Vedotin for injection,No
NCT01399086,Hellenic Oncology Research Group,,COMPLETED,,Fulvestrant,No
NCT07011186,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","PHASE1, PHASE2",RECRUITING,,TQB3909 Tablets + Azacitidine,No
NCT02000986,Virginia Commonwealth University,NA,WITHDRAWN,,Specimen Collection/Risk Factor Assessment -> Diet/Exercise -> Chemotherapy,No
NCT07441486,Tianjin Medical University Cancer Institute and Hospital,PHASE2,NOT_YET_RECRUITING,,Entinostat | Oral Paclitaxel,No
NCT06785870,Cyrus Hsia,,NOT_YET_RECRUITING,,,No
NCT05304169,Zodiac Produtos Farmaceuticos S.A.,PHASE4,COMPLETED,,Leuprorelin Acetate (Eligard® 45 mg).,No
NCT04570683,Bispebjerg Hospital,EARLY_PHASE1,UNKNOWN,,Nivolumab 10 MG/ML | Ablative fractionated laser,No
